index,time,conversation
200,20:37,Though for real but you good
201,20:37,So far you play like be
202,20:37,So it's not easy for me
203,20:37,Okay I think I
204,20:49,gave
205,21:15,it's my turn now
206,21:24,Oh
207,21:35,it's my turn
208,21:36,it's my yeah
209,22:08,alright
210,22:08,awesome awesome
211,22:08,yeah let's
212,22:08,finish this game
213,22:08,yeah you definitely the master this game all right
214,22:52,My done
215,22:54,yeah yeah you can wash it off you can wash it off like
216,22:54,it's your turn like no
217,23:00,yeah now it's your turn
218,23:02,it's oh it's my turn
219,23:03,yeah
220,23:18,Yes
221,23:19,yep alright so I think
222,23:19,I think we good now
223,23:19,yeah with what we have let me check Now let me stop the sharing
224,23:19,This is all the data we need
225,23:19,yeah and stop
226,23:19,All right
227,23:19,This is all the data we need so i'm going to hand the MIC this meeting and then I will call you on what's up
228,00:02,hi
229,00:03,Hello hi
230,00:05,How are you
231,00:06,yeah i'm fine
232,00:06,How are you
233,00:10,i'm good i'm good
234,00:14,i'm good
235,00:15,So how was your day
236,00:17,yeah
237,00:17,it's cool I was a masters
238,00:21,or it's going to
239,00:21,Be new window
240,00:26,yeah do you like the process
241,00:29,yeah it's really interesting What about you
242,00:33,yeah yeah I find a different difference between
243,00:33,yeah between the two
244,00:42,Of you register to
245,00:44,yeah how does the conversion and drugs course i'm a nice person no
246,00:44,interest at
247,00:52,All so you have taken to
248,00:56,They can have three courses core
249,00:58,yeah Maybe those are the I guess the monies are you open are you cooking open
250,01:06,yeah managing and stuff my time yeah
251,01:06,yeah awesome
252,01:06,Not and I
253,01:06,Am too quiet a call closes
254,01:23,So we're gonna finish up my skills like than one and a half you're
255,01:29,going to
256,01:29,know everything is
257,01:33,Okay what do you do finishing all your course go subjects
258,01:37,yeah
259,01:39,And then let's still go to yours
260,01:42,yeah it can be
261,01:42,easy for me
262,01:42,Your national semifinals
263,01:42,Why don't you
264,01:52,register to Ai big data and data science and instead image processing i've chosen one goal
265,02:03,yeah
266,02:05,it's gonna be hard
267,02:08,Do you find anything and I think this
268,02:11,Is the tournament's trusting not really because I am new to the course i've never studied that before
269,02:11,yeah so i'm finding a little hard to find and liking it
270,02:11,So we'll start the game
271,02:29,Okay so
272,02:31,Okay let me share the screen
273,02:34,yeah I can
274,02:35,send the invites to your main
275,02:38,Okay
276,02:38,have to join yeah i'm checking
277,02:42,In this shading on
278,02:46,Dawson knoxville
279,02:48,yeah
280,02:52,Can you see my screen
281,02:54,yeah
282,02:56,Okay
283,03:13,yeah
284,03:13,chopping down
285,03:20,alright
286,03:21,So we'll start with
287,03:21,That one
288,03:21,Okay what did he sent to the name to join
289,03:39,Can you access it
290,03:39,Okay
291,03:39,yeah
292,03:39,again
293,07:04,Any of the playful
294,07:06,Okay
295,07:07,And then we'll go with another
296,07:07,star
297,07:12,Okay
298,08:48,again
299,10:15,yeah yeah
300,10:15,And again
301,10:15,yeah
302,10:24,And then another thing that's dogs and boxes
303,10:29,Okay
304,11:49,two players name
305,11:52,Five and before
306,11:52,We just have to draw lines and whoever gets So whoever gets the mouse and whoever gets to pull the box I mean bass line for the words
307,11:52,Okay it's two Min gets that bolts and you can initiate that works alone
308,12:12,Okay
309,12:12,Then we'll get more done
310,12:18,Now
311,14:36,know
312,14:36,Okay
313,15:47,Then
314,15:49,What cell and Senator what's working through this chatter me
315,15:49,mm hmm
316,15:49,Industry
317,15:49,send me the link
318,15:49,centered on
319,15:49,Okay
320,15:49,It says against
321,15:49,Asians you won twice
322,24:40,yeah Thank you
323,24:44,Oh I stopped sharing
324,24:45,yeah okay
325,24:48,was really nice thing with you
326,24:52,yeah yeah
327,25:01,Oh
328,25:07,yeah
329,25:07,yeah
330,25:13,Great meeting you feel
331,25:15,yeah me too
332,25:15,it's nice thing
333,25:15,yeah
334,25:23,Actually in the meeting
335,25:26,yeah my bad
336,25:31,I lost share the recording to you like know in five minutes
337,25:36,Okay
338,25:37,Thank you
339,00:00, Item how are you
340,00:07, hi i'm playing call you
341,00:09, yeah i'm good I was there I was ready
342,00:12, yeah it is busy day actually
343,00:19, i'm actually in Washington Seattle
344,00:23, i'm in denton
345,00:27, How are you doing these days
346,00:32, i'm doing Okay if I say minutes
347,00:38, By the way or what are your courses little
348,00:44, introduction to a software development and deep learning
349,00:48, And this hydrogen right
350,00:53,yeah
351,00:53, So you are in computer science right
352,00:55, Yes I am
353,01:00, Okay that's great So this was a fashion
354,01:03, yeah it is it is my first semester
355,01:09, Oh okay nice okay let's start playing the game okay
356,01:12, Okay i'll share the screen
357,01:14, Here yeah
358,01:17, So let's start with the
359,01:20, dog sandbox sand boxes
360,01:22,Okay
361,01:24, me too
362,01:28, I think you should choose the smaller one right
363,01:30, yeah I chose this model
364,01:35, would be great
365,01:39, Sorry
366,01:42, To force it would be great
367,01:43, yeah
368,01:51, yeah I shared the link on the water
369,01:52, yeah I saw
370,01:57, A comment ready
371,01:58,yeah
372,02:11, So like you're doing all this game
373,02:13, yeah let's do it
374,02:21, Okay here right a you need to just draw the lines and who are ill will complete the square is going to
375,02:22, uh huh
376,02:23, Okay
377,02:23, Like more number of squares right
378,02:25, yeah and then who will make more number of squares is going to me
379,02:29, So
380,02:35, Here you go
381,02:54, Why
382,03:06, Give
383,03:10, You that s3
384,03:11, Know it's the payback
385,03:21, Okay
386,03:22, let's play a game with big numbers
387,03:25, yeah I think it's enough we'll play another game tic TAC toe
388,03:36, game
389,03:42, send me a link
390,03:44,yeah
391,03:46, Okay
392,03:57, click on that link and click on play
393,04:21, les
394,04:26, Brown
395,04:29, Next
396,04:33, yeah
397,04:46, No it's done
398,04:49, Directly contrast
399,04:54, No I just click on the middle throw
400,04:56, You Laughter
401,04:58, is asked me to left the room
402,05:02, No
403,05:05, No I am not getting the game right
404,05:09, Okay let me share the link
405,05:43, hey what's up man
406,05:52, Like the same
407,05:55, not getting the option
408,05:58, No i'm definitely played the role
409,06:01, play with your friends
410,06:05, Okay just kidding
411,06:12, yeah
412,06:16,Okay
413,06:41, Join
414,06:51, The group again
415,07:04, Okay
416,07:13, Are you in the room ideally
417,07:17, I think I am
418,07:22, Not forever
419,07:25, yeah let's find a middle name
420,07:27, abandon ship
421,07:30, Order your
422,07:33, salon game we need to annotate the videos
423,07:38, let's say one more time and otherwise let's drop
424,07:42, It no
425,07:46, You just close the browser okay
426,07:47,yeah
427,08:20, You left the game
428,08:23, The game
429,08:23,yeah
430,08:29, I think I have some problem with a fair something
431,08:31, Okay that's fine
432,08:38, let's do one thing let's play dogs dogs sandbox a second
433,08:39,Okay
434,09:02, Yes
435,09:20, Okay come on it let's play fast
436,09:56, bye
437,10:27, Oh
438,10:29, Okay
439,10:35, No I guess
440,10:36,Yes
441,10:57, you'll see a little
442,10:59, completed last
443,11:05, shot that a good evening
444,00:00, hi Jerry how are you
445,00:00, hi how are you
446,00:09, i'm good
447,00:10, What about you
448,00:12, yeah i'm fine
449,00:17, With the sentiments
450,00:18, Florida process right
451,00:21, Yes
452,00:26, So how you are in a only right
453,00:30, Now i'm i'm from computer science what about you
454,00:33, I took masters in a
455,00:35, must see it first semester semester you
456,00:40, yeah i'm if I say Mr
457,00:42,Okay
458,00:44, Good
459,00:46, Whatever you are in first semester
460,00:48, Yes i'm a pessimist okay
461,00:53, Do you have any plans to change for me to computer science
462,00:57, Actually i'm from i'm from computer engineering computer science anything so my major is a master's in computer anything
463,01:05, Okay so from supercomputer in insurance to you is objects
464,01:12, That we can take what was up to be more
465,01:18, Okay fine now guillen's I share my screen
466,01:22,Yes
467,01:25, i'll just they know how to play this dots and boxes
468,01:29, Yes oh
469,01:31, Okay from pri Okay could you please send me the link once I played before like in you know Google time using Google trying I played
470,01:43, Using Google drive
471,01:46, yeah
472,01:47, This
473,01:50, mean let's do it fast why because
474,01:53, Again it will be difficult for us like we need to annotate the embedded video
475,01:59, Okay you know the game right so
476,02:03, Okay
477,02:07, So you're choosing to i'm
478,02:10, Sorry
479,02:11, Other people
480,02:14, So
481,02:16, Okay
482,02:22, So i'll share the link
483,02:36, Did you get
484,02:41, In I shared in June jack
485,02:47, In
486,02:47, The country
487,02:55, Yes
488,03:40, yeah I know
489,03:51, You
490,03:53, Know know if you make a box you'll have one more chance
491,03:58,Okay
492,04:03, They need to reconsider
493,04:07, You need to fill it again you have made one more box right
494,04:09, So like this
495,04:13, You can complete them
496,04:15, So it is
497,04:17, OK
498,04:19, I can go for
499,04:20, Today yeah
500,04:21,yeah
501,04:36, send me the link
502,04:48, So how many can we need to play with how many person
503,04:51, They said six people
504,04:58, oh six game we need to play with six different people each game so totally 12 games right
505,05:00, yeah super
506,05:02, How many games you played
507,05:08, Many games do you play
508,05:13, This is third one I will play one man shop it for a reason okay
509,05:17, I am having a good again due to you okay
510,05:18, yeah sure
511,05:23, Yes I see I saw that one okay
512,05:24, Shall we play
513,05:38, It showing you are waiting for me
514,05:40, to join
515,05:46, Did it the contrary or something some option is they're
516,05:48, Showing me
517,05:51, What already joined
518,05:53, me
519,05:55, today
520,06:14, he's waiting for you
521,06:17, bill one things you can create again
522,06:55, Yes
523,06:57, Then with the proposals
524,07:03, And he I need to start
525,07:06, it's like are you gaining
526,07:10, Access to this project you know
527,07:14, I said okay
528,07:25, I think you didn't click on play
529,07:27, I think
530,07:29, Okay it's okay
531,07:31, So
532,07:33, yeah
533,07:54, Next next
534,08:00, I just want to stick it that's it so much it we know that is a holiday
535,08:02, Okay let me stop the
536,08:04,Recording
537,00:00, So hi how are you I
538,00:06, Am good man what about you
539,00:09, i'm fine too so how was the day
540,00:13, As usual normal Sunday during relax
541,00:17, yeah I was working on it
542,00:23, You and I finalize my PT idea you
543,00:25, know of course right
544,00:26,yeah
545,00:30, I was working on that and I finalized that idea today
546,00:32, Nice
547,00:35, Maybe you can join us
548,00:40, Okay thanks
549,00:45, Okay let's not the game
550,00:48, yeah i'll share my screen
551,00:50, are able to see my screen
552,00:53, I think so yes
553,00:54,Okay
554,01:04, So this is dots and boxes to players let's play with three by toolbox separate game
555,01:09, I shared the link
556,01:12, You can click on the chat
557,01:25, Start game one right
558,01:26,yeah
559,01:34, or two
560,01:41, To dart okay just opening the game okay so
561,01:49, Okay it says ready player 2am the player to vs ready you want me to click on the ready
562,01:49,yeah
563,01:53, Okay I clicked on that
564,01:57, Okay
565,02:00, So you should start I think right
566,02:01,yeah
567,02:05, Okay
568,02:33, Oh you will get chances good job
569,02:43, Let me thing but I don't want to you you more opportunity if I do this you will get to if I put here again
570,02:52, Oh
571,02:56, You can take the last two words it's
572,03:02, Okay great
573,03:03, let's begin
574,03:07, Okay
575,03:11, that's it let's play another game
576,03:12,Okay
577,03:14, This message is
578,03:18, Just closer okay
579,03:22, Okay yeah it's been closed
580,03:35, Yet give me one SEC
581,03:37, See
582,03:45, Okay this is which one now
583,03:48, This is tic TAC toe
584,03:51, Okay anything for you
585,03:55, I just click on the play button right
586,03:56, yeah
587,04:00, nickname so see
588,04:11, Okay you go ahead
589,04:16, I think you said start
590,04:17,Okay
591,04:42, Oh
592,04:45, that's
593,04:48, Okay that's fine I think it was little easy
594,04:51, yeah so yeah
595,05:00, he's waving no let's i'll stop this so once a stopping and the meeting will get the recording and all the transcripts and links
596,05:01, Okay
597,05:04, Okay again will join again will die okay
598,05:06, No problem yeah
599,05:12, Okay maddening the meeting
600,05:13,Okay
601,01:01,Yes I can
602,01:02,hey what's going on
603,01:04,don't get how are you
604,01:06,How
605,01:06,Are you doing in this class so far
606,01:10,um well considering I put like 80% of my grade into the project I feel like i'm doing great
607,01:10,it's all like completion and attending class so
608,01:10,Okay I should be
609,01:25,yeah I spread it out a little bit so I put like 40% of the grade into the final project because I don't know how much of it be able to pull off
610,01:25,exactly like
611,01:25,So this is kind of what we're building datsun squares
612,01:25,So I think we can get everything done but the new learning part we'll see how that goes you have to find a proper data Center train this thing on
613,01:49,yeah well I mean hopefully this does something right I mean this is supposed to be dagger for y'all to
614,01:54,yeah yeah correct correct awesome okay so
615,01:54,yeah alright so this is a game of dots and boxes so
616,01:54,So he re's kind of what you see so here are the roles what we're going to do so the goal is to capture an entire box and the way you capture an entire box is to fill in the rectangle around that right you play against a single opponent at least it will be me and you
617,01:54,Okay be careful that you don't create a situation where the other person can capture an entire box right
618,01:54,here's the thing
619,01:54,After you capture a box you get to go again so your turn does not end whenever you capture a box
620,02:47,seems like
621,02:49,it's a cyclical situation where you just keep capturing boxes over and over again right okay okay
622,02:49,and whoever has the most boxes at the end essentially wins
623,03:00,Okay seems simple enough
624,03:02,awesome awesome let's make sure that
625,03:02,Share okay alright so we're gonna play this game on this particular little website
626,03:02,Solomon if you're watching this instead of using your drawings Well this is much more interactive for us and much easier to set up rather than draw things so this is where we'll do it okay so let's play the game
627,03:02,he'll be with other people to five by four is a pretty decent grid
628,03:02,or right yes it's a private game alright so i'm going to go and share this thing with you on chat
629,03:42,awesome
630,03:45,There you go if you will please join the game
631,03:47,horse
632,03:48,There we go i'm ready
633,03:48,to play by five rounds let's see if you can get up to speed within
634,03:48,five rounds okay
635,03:57,Okay i'll try my best
636,03:58,Okay so my turn I will connect here
637,04:02,Okay
638,04:07,There we go
639,04:07,wow
640,04:13,Ah
641,04:14,yeah that's exactly how it works
642,04:14,Okay so
643,04:14,Since I connected I get to go again
644,04:14,You think this is simple but this thing has like a ton of strategy behind it
645,04:40,yeah I wonder what do you understand was when this particular game was invented
646,04:44,I don't know exactly when this thing was
647,04:44,Interesting yeah yeah yeah It is interesting like again it's so simple to play but I went up against the computer a few times and man it just rolled me every single time
648,04:44,I think I think I want one game yeah
649,05:02,wow
650,05:02,I wonder what type of what type of Ai they use for their
651,05:02,system so
652,05:07,dominating it's it's it's gotta be a Min Max
653,05:07,yeah it's got to be a simple a simple decision trees can get this done because computers very efficient at forcing you into back moves
654,05:22,And to do it is I would assume it would be very fast so
655,05:22,It makes sense
656,05:30,We go
657,05:30,Forward starting to get filled
658,05:32,getting close at some point we have to make a
659,05:36,Yes
660,05:36,yeah
661,05:39,There we go
662,05:39,interesting
663,05:39,it's like the how good you are is all about these patterns that you create
664,05:39,And then you force your audience to have to connect
665,05:39,To make these moves to to connect yeah
666,05:39,um yeah okay
667,05:39,that's one let's see
668,05:39,let's see what's a good thing yeah
669,06:26,There we go
670,06:36,Thank
671,06:39,You wanna you want to try to minimize
672,06:41,The damage you minimize what they can do
673,06:44,minimize what they can do yeah
674,06:44,Exactly so that's probably a pretty good so that's
675,06:44,Okay
676,06:44,You missed this one I think
677,06:55,Oh dang
678,06:55,Oh wow the rest of them okay so
679,07:03,pretty much create a almost yeah so you'll have to figure out which ones to smaller on this
680,07:03,Okay so this is where they change
681,07:03,Right and I think i'll probably have to give you the rest I don't have any other way out yeah
682,07:25,let's see you but you did miss one
683,07:28,Oh I missed one
684,07:29,yeah
685,07:37,yeah
686,07:38,give you that last one though okay
687,07:38,No you have to start you understand oh wait Oh it was me okay
688,07:38,yeah sweet
689,07:45,What you have to go
690,07:47,So 1010 it's a draw
691,07:48,hey whoo
692,07:53,yeah let's do it okay
693,07:53,This is coming through out here
694,07:53,Is the hell
695,08:05,Okay let's see my turn all right let's go
696,08:09,Okay
697,08:12,not going to give you a free box this time
698,08:12,So have you been at you empty your whole college lifetime
699,08:24,yeah pretty much pretty much yeah
700,08:24,I actually started the master's program back in 2007 but due to personal reasons I just never able to finish it
701,08:35,Okay oh you're in the master's program currently
702,08:38,yeah okay
703,08:39,cool
704,08:40,it's my final class actually
705,08:42,Oh well congratulations that's awesome
706,08:45,graduating yeah yeah mommy
707,08:45,awesome Thank you
708,08:51,How did you like the the course as a whole
709,08:51,or
710,08:51,The degree plan
711,08:59,I was a little bit all over the place I like I didn't focus on it's like jack of all trades master of none right like instead of going all oh no no
712,08:59,it's click there's nothing okay
713,08:59,Your turn again
714,09:18,cool
715,09:18,um So if you started it so long ago
716,09:18,Is your master's program like
717,09:18,Specifically or is it more general because I know the masters and Ai is very recent
718,09:34,Oh yes it just there's no
719,09:34,09:3 9there's no specialization like I said I took a little bit of a island with cybersecurity a little bit of
720,09:34,So I believe that way the degree plan work is you got to take some core classes from each group you know those groups that they have
721,09:34,And then you can take whatever you want but these days I think I don't know if you agree or not maybe better to just focus you know really focus in on okay hang up let me
722,09:34,Concentrate on yeah I don't know where to move here i'm not seeing a move without giving you a
723,09:34,box okay and do that
724,09:34,Oh no way that will give you the whole thing
725,09:34,Okay I guess i'll just have to give you that
726,10:34,Okay okay
727,10:34,not bad I think the one I saw was this
728,10:42,doesn't give you yeah yeah
729,10:44,That doesn't give me
730,10:46,so bad move on my part okay now i'm gonna have to all right I think
731,10:46,I think this is the smallest one yeah
732,10:46,I think these days it's better to just
733,10:46,Give
734,10:46,To get a masters in a more stuff wise feel I don't know like I said
735,10:46,Maybe focus it on focus on software development
736,10:46,It looks like i'm gonna have to give me the rest I think you've got this round
737,11:27,i'm a quick learner
738,11:29,ok
739,11:29,Okay awesome
740,11:29,Okay play again more
741,11:36,One more
742,11:37,Oh yeah
743,11:39,yeah i'm starting in the fall hopefully i'm planning on getting the masters and I hear you empty but from what I was looking at what
744,11:39,seemed it seemed narrow enough that it didn't have that same
745,11:39,issue that you were talking about
746,11:53,Well that field is blowing up it's a ton of jobs lots of research opportunities depending on what you want to do
747,12:02,seems exciting
748,12:23,Interesting shape here
749,12:25,We almost have like perfect symmetry
750,12:25,Ah so perfect
751,13:07,Like literally one click might do the entire
752,13:15,God i'd love to see the
753,13:17,algorithm for this computer replaces
754,13:21,See you were giving me one
755,13:21,i'm giving you one I hope it works out for me
756,13:21,Okay
757,13:49,That seems to be yeah
758,13:49,wow
759,14:03,Literally
760,14:05,I literally like one this click fills the entire board we played this
761,14:05,Okay
762,14:05,Okay I can't do anything here I have to take that
763,14:05,I think the rest is yours I don't see around this
764,14:32,huh
765,14:35,hear
766,14:36,Anything I feel in a straight
767,14:39,Line okay I don't see any way to prevent okay
768,14:39,Maybe
769,14:39,we'll play a
770,14:52,Good game
771,14:54,and
772,14:55,that's an interesting word
773,14:58,yeah that was that was
774,15:01,it's all about creating those patterns and hold it into it okay So what do you think is three pretty good or should we play a few more
775,15:01,I think we got them again got enough for these three right
776,15:14,I agree
777,15:14,Okay okay
778,15:16,awesome so let me let me I said I know you recommended a game that i'm not all that familiar with so let me look
779,15:22,down yes and then if you can explain the
780,15:25,You can explain that to me
781,15:25,Of course we can we can play that long So here we go right you can still see my screen
782,15:34,Right yeah again okay okay
783,15:37,There we go
784,15:37,Alright alright play with friends all right let me put this on here we go copy let me put it on chat
785,15:37,There we go
786,15:54,john the game
787,15:56,See
788,15:56,On in
789,15:56,Okay
790,16:05,So this is
791,16:07,This is this game is called connect for so what you're going to do is every
792,16:11,Turn it's
793,16:12,Counting down so i'm gonna go ahead every turn you have to click a column and it drops down to the bottom spot I can go
794,16:12,So your goal is to connect four dots in a row and we're trying to stop each other from doing it and the main aspect here is that it works the graphics you don't get to just choose the spot and the grid
795,16:29,Also it drops down through the whole thing
796,16:32,yeah and it to the last spot at the barn I can go yeah
797,16:36,Okay I get it so connect four circles together
798,16:40,So the first to do that is the winner
799,16:43,and which we kind of go like
800,16:43,me directly
801,16:46,and go up and down Left and Right and
802,16:46,sideways
803,16:52,Okay
804,16:53,Okay I think I understand
805,16:56,awesome
806,17:00,This
807,17:01,What are you getting close there
808,17:01,you're almost there
809,17:07,i've got three right there
810,17:07,Oh okay that makes sense OK OK OK
811,17:07,OK Hello all right that makes sense so we all right now I get to try again
812,17:20,Now you understand the concept a little bit more yeah
813,17:23,For sure
814,17:23,got
815,17:23,It looks like we alternate terms and going first okay
816,17:23,Okay so I can't allow that during
817,17:38,Almost gotcha okay okay
818,17:38,Thank you for step ladder
819,17:47,I can do vertical to
820,17:47,Vertical and diagonal right
821,17:47,hmm okay so
822,17:47,Let me try the oh die okay so
823,18:02,geez okay awesome
824,18:02,it's the same concept like you know the game that you
825,18:07,Like trying to
826,18:07,Make your person to a wrong mess
827,18:11,or wrong so okay so
828,18:11,Okay Okay so I go first here all right gotcha
829,18:11,see that stepladder effect is really critical
830,18:11,That is sneaky sneaky okay
831,18:44,All right wow you're getting the hang of it though you're getting there it's good
832,18:48,Okay all right thank you oh it's so much
833,18:52,more interesting
834,19:16,Can just give me another draw possibly if nobody makes up for
835,19:20,Yes if we filled the board without anyone connecting forward then that would be a draw
836,19:25,Okay gotcha
837,19:25,No can do that
838,19:51,can't get you too many times
839,19:55,interesting
840,19:55,This thing should have some background music
841,20:20,Right and some good like smooth jazz or something
842,20:20,Oh so close
843,20:35,I didn't even see it
844,20:35,Okay how about one more heaven I think it's good enough
845,20:35,awesome this this game moves a bit faster than the other one
846,20:35,Does excellent Okay but hey I got better that's been
847,20:47,instantly lose yeah yeah you're I could see that you you know you're looking at a few steps ahead
